Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Forerunner,2179048386,"""6917529553534998283""",,Exotic,Sidearm,30th,KineticSlot,Kinetic,1806,,,,Titan(1812),false,false,4,15,,96,60,35,100,20,0,0,87,200,95,15,65,0,0,0,0,0,0,0,0,0,30,false,0,195,,,,Full Stop*,Smallbore*,Flared Magwell*,Pace Yourself*,Smooth Grip*,Gilded Honors*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Quicksilver Storm,4293613902,"""6917529810146446121""",,Exotic,Auto Rifle,deluxe,KineticSlot,Strand,1806,,,10,Titan(1812),false,false,5,18,,88,83,18,50,16,0,0,100,720,54,51,53,0,0,0,0,0,0,0,0,0,26,false,0,2119,,,,Rocket Tracers*,Corkscrew Rifling*,High-Caliber Rounds*,Grenade Chaser*,Hand-Laid Stock*,Kill Tracker*,Crucible Tracker,Quicksilver Storm Catalyst*,,,,,,,,,,,
Spare Rations,3236112986,"""6917529914864811182""",,Legendary,Hand Cannon,seasonpass,KineticSlot,Kinetic,1800,,Range,3,Titan(1812),true,false,6,21,,100,83,84,49,14,0,0,47,140,56,13,71,0,0,0,0,0,0,0,0,0,10,false,0,153,,Beta,,Adaptive Frame*,Hammer-Forged Rifling*,Smallbore,Alloy Magazine*,Appended Mag,Rapid Hit*,Kinetic Tremors*,Minor Spec*,Tier 3: Range*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Synchronic Roulette,811403305,"""6917529916310757384""",,Legendary,Submachine Gun,neomuna,KineticSlot,Strand,1800,,Reload Speed,2,Titan(1812),false,false,6,20,,93,52,25,53,14,0,0,44,600,21,26,37,0,0,0,0,0,0,0,0,0,18,false,0,0,,,,Precision Frame*,Fluted Barrel*,Polygonal Rifling,Armor-Piercing Rounds*,Ricochet Rounds,Keep Away*,Hatchling*,Tier 2: Reload Speed*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,,
Path of Least Resistance,2827764482,"""6917529868697128915""",keep,Legendary,Trace Rifle,rasputin,Energy,Arc,1803,,,,Titan(1812),true,false,5,19,,100,100,6,84,16,0,0,78,1000,50,96,42,0,0,0,0,0,0,0,0,0,12,true,13,1124,omolon,,,Adaptive Frame*,Extended Barrel*,Tactical Battery*,Adaptive Munitions*,Voltshot*,Minor Spec*,*,Ambush*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Snorri FR5,4114929480,"""6917529915872636551""",,Legendary,Fusion Rifle,legendaryengram,Energy,Void,1800,,Range,4,Titan(1812),false,false,5,16,,79,62,80,80,17,0,0,50,0,33,7,32,780,0,0,0,0,0,0,0,0,6,false,0,0,omolon,,,Precision Frame*,Full Bore*,Smallbore,Particle Repeater*,Projection Fuse,Heating Up*,Reservoir Burst*,Tier 4: Range*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,,
Glacioclasm,3573686365,"""6917529849464578436""",,Legendary,Fusion Rifle,events,Energy,Void,1800,,Range,10,Titan(1812),true,false,5,19,The Dawning,78,55,95,80,16,0,0,46,0,15,7,33,960,0,0,0,0,0,0,0,0,4,false,0,232,omolon,Alpha,,High-Impact Frame*,Full Bore,Smallbore*,Liquid Coils,Particle Repeater*,Subsistence*,Repulsor Brace,Kickstart,Reservoir Burst*,Shadow Gilt*,Major Spec*,Masterworked: Range*,Dawning Surprise,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,
Retraced Path,548958835,"""6917529815362498672""",keep,Legendary,Trace Rifle,30th,Energy,Solar,1810,,Handling,3,Titan(1812),true,false,4,15,,94,100,6,69,16,0,0,80,1000,45,100,54,0,0,0,0,0,0,0,0,0,10,false,0,48,,,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Enhanced Battery*,Particle Repeater,Feeding Frenzy*,Incandescent*,Jacarina*,Major Spec*,Tier 3: Handling*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Sunshot,2907129557,"""6917529048637980751""",,Exotic,Hand Cannon,,Energy,Solar,1809,,"Stability, Range",10,Titan(1812),false,false,1,1,,100,60,80,71,14,0,0,65,150,72,12,91,0,0,0,0,0,0,0,0,0,27,false,0,4090,,,,Sunburn*,Chambered Compensator*,Accurized Rounds*,Sun Blast*,Textured Grip*,Quark Star*,Sunshot Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Bug-Out Bag,2832639510,"""6917529903423309188""",,Legendary,Submachine Gun,seasonpass,Energy,Solar,1800,,Range,1,Titan(1812),false,false,6,21,,98,46,20,39,13,0,0,54,900,62,32,42,0,0,0,0,0,0,0,0,0,12,false,0,85,,,,Adaptive Frame*,Chambered Compensator*,Fluted Barrel,Flared Magwell*,Light Mag,Gutshot Straight*,Incandescent*,Tier 1: Range*,The Bunker*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Thin Precipice,4066778670,"""6917529907163263646""",,Legendary,Sword,,Power,Strand,1800,,Impact,4,Titan(1812),false,false,6,21,,0,0,60,0,0,0,0,0,0,0,63,0,0,0,0,20,0,100,90,40,0,0,false,0,0,,,,Vortex Frame*,Enduring Blade*,Honed Edge,Tempered Edge,Enduring Guard*,Heavy Guard,Duelist's Trance*,Hatchling*,Tier 5: Impact*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,
The Other Half,3257091167,"""6917529870363627418""",keep,Legendary,Sword,30th,Power,Void,1810,,,,Titan(1812),true,false,4,15,,0,0,64,0,0,0,0,0,0,0,57,0,0,0,0,30,20,30,50,40,0,0,true,17,471,,"Fusion, Stasis",,Adaptive Frame*,Jagged Edge*,Swordmaster's Guard*,Eager Edge*,Vorpal Weapon*,Gilded Smoke*,Quick Access Sling*,*,Hot Swap*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Marsilion-C,867154247,"""6917529916304213621""",,Legendary,Grenade Launcher,legendaryengram,Power,Solar,1800,,Reload Speed,2,Titan(1812),false,false,6,20,,78,30,0,0,13,10,42,35,150,24,5,21,0,0,0,0,0,0,0,0,0,11,false,0,0,hakke,,,Rapid-Fire Frame*,Confined Launch*,Quick Launch,Proximity Grenades*,Alloy Casing,Turnabout*,Explosive Light*,Tier 2: Reload Speed*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,,,,
Worldline Zero,1864563948,"""6917529097790320795""",,Exotic,Sword,,Power,Arc,1805,,,10,Titan(1812),false,false,1,3,,0,0,61,0,0,0,0,0,0,0,62,0,0,0,0,20,50,50,100,40,0,0,false,0,155,,,,Tesseract*,Tempered Edge*,Infinite Guard*,Assassin's Blade*,Tireless Blade*,Worldline Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,,
Round Robin,2034215657,"""6917529903842707615""",,Legendary,Hand Cannon,neomuna,KineticSlot,Strand,1809,,Range,10,Titan(1812),true,true,6,20,,100,58,92,81,14,0,0,20,120,22,8,14,0,0,0,0,0,0,0,0,0,14,true,11,866,,,,Aggressive Frame*,Extended Barrel*,Armor-Piercing Rounds*,Subsistence*,Hatchling*,SUROS Modular Shine*,Minor Spec*,*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Hollow Denial,2323544076,"""6917529868738622677""",keep,Legendary,Trace Rifle,haunted,Energy,Void,1810,,,,Titan(1812),true,true,5,17,,100,100,6,76,16,0,0,76,1000,46,102,45,0,0,0,0,0,0,0,0,0,9,true,15,1105,,Void,,Adaptive Frame*,Extended Barrel*,Enhanced Battery*,Adaptive Munitions*,Killing Tally*,Royal Dye*,Major Spec*,*,Extrovert*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Retrofit Escapade,3103325054,"""6917529871824596727""",keep,Legendary,Machine Gun,seasonpass,Power,Void,1804,,Stability,10,Titan(1812),true,true,5,19,,65,70,25,23,16,0,0,64,900,47,115,51,0,0,0,0,0,0,0,0,0,22,true,18,482,suros,,,Rapid-Fire Frame*,Chambered Compensator*,Extended Mag*,Fourth Time's the Charm*,Target Lock*,Backup Mag*,*,Ambush*,Suros Synergy,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Something New,1856262127,"""6917529805327966672""",keep,Legendary,Hand Cannon,events,KineticSlot,Stasis,1771,,Handling,1,Hunter(1812),true,false,5,17,Solstice,100,60,92,63,14,0,0,27,120,25,8,35,0,0,0,0,0,0,0,0,0,23,false,0,8,,,,Aggressive Frame*,Arrowhead Brake*,Polygonal Rifling,High-Caliber Rounds*,Ricochet Rounds,Feeding Frenzy*,Demolitionist*,Tier 1: Handling*,Dream Work*,Kill Tracker*,Crucible Tracker,,,,,,,,
Chroma Rush,1119734784,"""6917529361065203219""",keep,Legendary,Auto Rifle,servitor,KineticSlot,Kinetic,1800,,Stability,10,Hunter(1812),true,true,4,14,,75,80,18,25,16,0,0,71,720,62,51,45,0,0,0,0,0,0,0,0,0,10,false,0,1257,,,,Rapid-Fire Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag,Flared Magwell*,Heating Up*,Rampage*,Calus's Selected*,Masterworked: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,
Strident Whistle,2591241074,"""6917529777030124048""",keep,Legendary,Combat Bow,strikes,Energy,Solar,1810,,Accuracy,2,Hunter(1812),true,true,5,17,,76,64,76,0,18,0,0,41,0,50,0,65,0,612,66,0,0,0,0,0,0,5,false,0,21,,,,Precision Frame*,Elastic String*,Polymer String,Compact Arrow Shaft*,Straight Fletching,Archer's Tempo*,Incandescent*,Minor Spec*,Tier 2: Target Acquisition*,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,,,
Circular Logic,2187717691,"""6917529915868054942""",,Legendary,Machine Gun,neomuna,Power,Strand,1800,,Stability,1,Hunter(1812),true,true,6,20,,80,59,41,45,16,0,0,39,450,50,53,63,0,0,0,0,0,0,0,0,0,11,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Alloy Magazine*,Ricochet Rounds,Feeding Frenzy*,Hatchling*,Tier 1: Stability*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,,
Ticuu's Divination,3260753130,"""6917529855548015979""",,Exotic,Combat Bow,,Energy,Solar,1600,,,,Vault,false,false,4,13,,60,79,68,0,18,0,0,62,0,60,0,66,0,580,47,0,0,0,0,0,0,23,false,0,17,,,,Sacred Flame*,Tactile String*,Straight Fletching*,Causality Arrows*,Hasta Solari*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Perses-D,1019000888,"""6917529758348946215""",keep,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1600,,Reload Speed,4,Vault,true,false,5,16,,74,36,67,68,22,0,0,32,150,47,15,46,0,0,0,0,0,0,0,0,0,12,false,0,0,hakke,,,High-Impact Frame*,Fluted Barrel*,Smallbore,Appended Mag,Tactical Mag*,Rapid Hit*,Headstone*,Tier 4: Reload Speed*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,,,,
Aurvandil FR6,963710795,"""6917529860506785743""",keep,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1800,,Handling,2,Vault,true,false,5,19,,97,63,100,47,15,0,0,24,0,18,5,30,960,0,0,0,0,0,0,0,0,3,false,0,0,omolon,,,High-Impact Frame*,Arrowhead Brake*,Polygonal Rifling,Accelerated Coils,Liquid Coils*,Reconstruction*,Golden Tricorn*,Tier 2: Handling*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,,
Xenophage,1395261499,"""6917529205119975131""",,Exotic,Machine Gun,,Power,Solar,1800,,,,Vault,false,false,3,8,,85,33,100,88,16,0,0,27,120,31,20,30,0,0,0,0,0,0,0,0,0,12,false,0,166,,,,Pyrotoxin Rounds*,Full Bore*,High-Caliber Rounds*,Rangefinder*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Duality,3460576091,"""6917529346555099264""",,Exotic,Shotgun,,Energy,Solar,1600,,,,Vault,false,false,4,12,,78,65,80,75,12,0,0,50,65,1,6,80,0,0,0,0,0,0,0,0,0,6,false,0,0,,,,Compression Chamber*,Corkscrew Rifling*,Alloy Magazine*,On Black Wings*,Short-Action Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
IKELOS_HC_v1.0.1,3866356643,"""6917529054655500289""",,Legendary,Hand Cannon,dcv,Energy,Solar,1600,1060,Reload Speed,10,Vault,true,false,1,3,,91,75,78,42,14,0,0,69,180,43,12,33,0,0,0,0,0,0,0,0,0,10,false,0,998,,,,Precision Frame*,Corkscrew Rifling,Smallbore*,Fluted Barrel,Seraph Rounds*,Rampage*,Threat Detector,Solar Damage Mod*,Arctic Pearl*,Masterwork Weapon*,,,,,,,,,
Legal Action II,3409645497,"""6917529532542612490""",keep,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1791,,Stability,1,Vault,true,false,4,15,,70,32,33,72,22,0,0,54,340,33,28,39,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,High-Impact Frame*,Arrowhead Brake,Fluted Barrel*,Accurized Rounds*,Extended Mag,Heating Up*,Rampage*,Full Auto Retrofit*,Tier 1: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,
IKELOS_HC_v1.0.2,1200824700,"""6917529472949507183""",keep,Legendary,Hand Cannon,dungeon,Energy,Void,1600,,Stability,2,Vault,true,false,3,11,,100,75,78,35,14,0,0,74,180,33,12,28,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Precision Frame*,Chambered Compensator*,Corkscrew Rifling,Seraph Rounds*,Flared Magwell,Triple Tap*,Rampage*,Tier 2: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Dead Man's Tale,3654674561,"""6917529494137743630""",keep,Exotic,Scout Rifle,,KineticSlot,Kinetic,1806,,,10,Vault,true,false,4,13,,89,60,67,60,18,0,0,55,120,65,14,50,0,0,0,0,0,0,0,0,0,17,false,0,224,tex-mechanica,,,Cranial Spike*,Polygonal Rifling*,Flared Magwell*,Vorpal Weapon*,Hand-Laid Stock*,Remembrance*,Kill Tracker*,Crucible Tracker,Dead Man's Tale Catalyst*,,,,,,,,,,
